Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Customer Segment,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
30,US2012-5940,2012-09-17,2012-09-21,Standard Class,TB-11520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,19140,East,FUR-HOW-10004162,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",62.1,2,0.4,-10.35
31,US2012-5940,2012-09-17,2012-09-21,Standard Class,TB-11520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,19140,East,OFF-POL-10002159,Office Supplies,Envelopes,Poly String Tie Envelopes,2.448,2,0.4,0.2856
32,US2012-5940,2012-09-17,2012-09-21,Standard Class,TB-11520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,19140,East,OFF-BOS-10003416,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6,0.2,9.7092
33,US2012-5940,2012-09-17,2012-09-21,Standard Class,TB-11520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,19140,East,OFF-ACC-10004329,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",11.43,6,0.5,-1.143
34,US2012-5940,2012-09-17,2012-09-21,Standard Class,TB-11520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,19140,East,OFF-LUM-10000414,Office Supplies,Art,Lumber Crayons,15.76,2,0.2,3.546
35,US2014-5690,2014-10-20,2014-10-24,Second Class,MA-7560,Matt Abelman,Home Office,Houston,Texas,77095,Central,OFF-STA-10000093,Office Supplies,Paper,Staples,14.736,2,0.4,1.7192
36,US2013-8860,2013-12-09,2013-12-11,First Class,GH-4485,Gene Hale,Corporate,Richardson,Texas,75080,Central,TEC-GE -10004326,Technology,Phones,GE 30524EE4,587.97,6,0.5,-246.9474
37,US2013-8860,2013-12-09,2013-12-11,First Class,GH-4485,Gene Hale,Corporate,Richardson,Texas,75080,Central,FUR-ELE-10004379,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",229.104,4,0.4,-42.0024
38,US2012-4500,2012-12-27,2012-12-31,Standard Class,SN-10710,Steve Nguyen,Home Office,Houston,Texas,77041,Central,OFF-#10-10000131,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",94.44,10,0.4,7.87
39,US2012-4500,2012-12-27,2012-12-31,Standard Class,SN-10710,Steve Nguyen,Home Office,Houston,Texas,77041,Central,FUR-ATL-10002663,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",313.176,2,0.4,-73.0744
40,US2012-4500,2012-12-27,2012-12-31,Standard Class,SN-10710,Steve Nguyen,Home Office,Houston,Texas,77041,Central,FUR-GLO-10002594,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",201.96,2,0,50.49
41,US2012-4500,2012-12-27,2012-12-31,Standard Class,SN-10710,Steve Nguyen,Home Office,Houston,Texas,77041,Central,TEC-PLA-10002152,Technology,Phones,Plantronics HL10 Handset Lifter,231.98,4,0.5,-97.4316
42,US2014-50,2014-09-11,2014-09-16,Standard Class,LC-6930,Linda Cazamias,Corporate,Naperville,Illinois,60540,Central,TEC-PAN-10002260,Technology,Phones,Panasonic Kx-TS550,91.98,4,0.5,-38.6316
43,US2013-9120,2013-07-18,2013-07-23,Standard Class,RA-9885,Ruben Ausman,Corporate,Los Angeles,California,90049,West,OFF-ELD-10002253,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",70.092,2,0.1,-3.894
44,US2014-2190,2014-09-20,2014-09-24,Standard Class,ES-4080,Erin Smith,Corporate,Melbourne,Florida,32935,South,OFF-ADV-10001620,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",47.808,2,0.6,-38.2464
45,US2013-8520,2013-03-12,2013-03-14,First Class,ON-8715,Odella Nelson,Corporate,Eagan,Minnesota,55122,Central,TEC-VER-10003163,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",27.588,2,0.4,1.3794
46,US2013-8520,2013-03-12,2013-03-14,First Class,ON-8715,Odella Nelson,Corporate,Eagan,Minnesota,55122,Central,OFF-WIL-10001878,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,10.476,2,0.4,1.2222
47,US2011-4010,2011-10-20,2011-10-25,Second Class,PO-8865,Patrick O'Donnell,Consumer,Westland,Michigan,48185,Central,OFF-GOU-10004599,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,0,8.4784
48,US2013-2670,2013-06-21,2013-06-26,Standard Class,LH-6900,Lena Hernandez,Consumer,Dover,Delaware,19901,East,TEC-IMA-10003614,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30,2,0,3.3
49,US2013-2670,2013-06-21,2013-06-26,Standard Class,LH-6900,Lena Hernandez,Consumer,Dover,Delaware,19901,East,TEC-LF -10004691,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2,0,6.104
50,US2012-2470,2012-04-18,2012-04-22,Standard Class,DP-3000,Darren Powers,Consumer,New Albany,Indiana,47150,Central,OFF-C-L-10000472,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6,0,17.9634
51,US2012-2470,2012-04-18,2012-04-22,Standard Class,DP-3000,Darren Powers,Consumer,New Albany,Indiana,47150,Central,OFF-AVE-10000691,Office Supplies,Labels,Avery 485,75.18,6,0,35.3346
52,US2012-2470,2012-04-18,2012-04-22,Standard Class,DP-3000,Darren Powers,Consumer,New Albany,Indiana,47150,Central,FUR-LON-10002078,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,2,0,2.9568
53,US2012-2470,2012-04-18,2012-04-22,Standard Class,DP-3000,Darren Powers,Consumer,New Albany,Indiana,47150,Central,FUR-GLO-10002204,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,1,0,17.0981
54,US2013-3570,2013-12-12,2013-12-18,Standard Class,JM-5265,Janet Molinari,Corporate,New York City,New York,10024,East,OFF-ADV-10002914,Office Supplies,Fasteners,Advantus Push Pins,11.772,6,0.1,4.0548
55,US2013-3570,2013-12-12,2013-12-18,Standard Class,JM-5265,Janet Molinari,Corporate,New York City,New York,10024,East,TEC-AT&-10000312,Technology,Phones,AT&T CL83451 4-Handset Telephone,741.564,4,0.1,156.5524
56,US2013-2780,2013-06-18,2013-06-19,First Class,TB-11055,Ted Butterfield,Consumer,Troy,New York,12180,East,OFF-HOM-10002814,Office Supplies,Storage,Home/Office Personal File Carts,187.704,6,0.1,31.284
57,US2013-2780,2013-06-18,2013-06-19,First Class,TB-11055,Ted Butterfield,Consumer,Troy,New York,12180,East,OFF-XER-10001012,Office Supplies,Paper,Xerox 232,23.328,4,0.1,9.8496
58,US2013-2780,2013-06-18,2013-06-19,First Class,TB-11055,Ted Butterfield,Consumer,Troy,New York,12180,East,FUR-NOV-10002865,Furniture,Chairs,Novimex Turbo Task Chair,255.528,4,0.1,5.6784
59,US2013-2780,2013-06-18,2013-06-19,First Class,TB-11055,Ted Butterfield,Consumer,Troy,New York,12180,East,OFF-ARR-10002213,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",13.104,2,0.1,5.5328
60,US2013-2780,2013-06-18,2013-06-19,First Class,TB-11055,Ted Butterfield,Consumer,Troy,New York,12180,East,TEC-IMA-10003614,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,27,2,0.1,0.3
61,US2013-2780,2013-06-18,2013-06-19,First Class,TB-11055,Ted Butterfield,Consumer,Troy,New York,12180,East,OFF-PLA-10001362,Office Supplies,Binders,Plastic Binding Combs,48.48,4,0.2,16.362
62,US2013-2780,2013-06-18,2013-06-19,First Class,TB-11055,Ted Butterfield,Consumer,Troy,New York,12180,East,OFF-PRA-10003274,Office Supplies,Art,Prang Dustless Chalk Sticks,1.512,1,0.1,0.672
63,US2012-810,2012-11-24,2012-11-30,Standard Class,KM-6720,Kunst Miller,Consumer,Los Angeles,California,90004,West,TEC-VER-10004186,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",12.582,2,0.1,4.7532
64,US2012-810,2012-11-24,2012-11-30,Standard Class,KM-6720,Kunst Miller,Consumer,Los Angeles,California,90004,West,OFF-ACC-10001039,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",29.052,6,0.1,12.5892
65,US2012-810,2012-11-24,2012-11-30,Standard Class,KM-6720,Kunst Miller,Consumer,Los Angeles,California,90004,West,OFF-XER-10002987,Office Supplies,Paper,Xerox 1943,88.038,2,0.1,36.1934
66,US2012-810,2012-11-24,2012-11-30,Standard Class,KM-6720,Kunst Miller,Consumer,Los Angeles,California,90004,West,FUR-LUX-10003863,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,71.784,4,0.1,14.3568
67,US2012-3730,2012-04-30,2012-05-05,Standard Class,PS-8970,Paul Stevenson,Home Office,Chicago,Illinois,60610,Central,FUR-GLO-10002026,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",243.56,4,0,60.89
68,US2011-2760,2011-12-05,2011-12-10,Standard Class,BS-1590,Brendan Sweed,Corporate,Gilbert,Arizona,85234,West,OFF-HUN-10000569,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1391.28,8,0,389.5584
69,US2011-2760,2011-12-05,2011-12-10,Standard Class,BS-1590,Brendan Sweed,Corporate,Gilbert,Arizona,85234,West,TEC-NET-10003927,Technology,Phones,netTALK DUO VoIP Telephone Service,209.96,4,0,104.98
70,US2013-9630,2013-06-05,2013-06-07,First Class,KD-6270,Karen Daniels,Consumer,Springfield,Virginia,22153,South,OFF-SNA-10002736,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2,0,35.6636
71,US2013-5050,2013-09-19,2013-09-24,Standard Class,HM-4980,Henry MacAllister,Consumer,New York City,New York,10009,East,OFF-AVE-10000472,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1,0.2,1.731
72,US2014-8700,2014-09-15,2014-09-18,Second Class,TB-11520,Tracy Blumstein,Consumer,Jackson,Michigan,49201,Central,OFF-TEL-10002444,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",12.7,2,0,5.842
73,US2012-6880,2012-04-26,2012-05-02,Standard Class,JE-5745,Joel Eaton,Consumer,Memphis,Tennessee,38109,South,FUR-HIG-10000730,Furniture,Chairs,High-Back Leather Manager's Chair,1039.92,8,0,93.5928
74,US2012-6880,2012-04-26,2012-05-02,Standard Class,JE-5745,Joel Eaton,Consumer,Memphis,Tennessee,38109,South,FUR-TEN-10000389,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",121.3,2,0,25.473
75,US2012-6880,2012-04-26,2012-05-02,Standard Class,JE-5745,Joel Eaton,Consumer,Memphis,Tennessee,38109,South,OFF-SAF-10001125,Office Supplies,Storage,Safco Industrial Wire Shelving System,72.784,1,0.2,-18.196
76,US2014-6430,2014-12-10,2014-12-12,First Class,KB-6600,Ken Brennan,Corporate,Houston,Texas,77041,Central,OFF-ECO-10004572,Office Supplies,Binders,Economy Binders,2.496,2,0.4,0.3744
77,US2014-6430,2014-12-10,2014-12-12,First Class,KB-6600,Ken Brennan,Corporate,Houston,Texas,77041,Central,"FUR-6"" -10000600",Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",9.708,2,0.4,-0.6472
78,US2014-6430,2014-12-10,2014-12-12,First Class,KB-6600,Ken Brennan,Corporate,Houston,Texas,77041,Central,OFF-SIM-10004820,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",18.16,2,0.2,1.816
79,US2011-430,2011-11-26,2011-12-01,Second Class,JE-5745,Joel Eaton,Consumer,Houston,Texas,77070,Central,FUR-ELD-10004633,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",23.16,4,0.4,-3.86
80,US2013-710,2013-06-13,2013-06-16,First Class,SC-10770,Stewart Carmichael,Corporate,Decatur,Alabama,35601,South,OFF-1.7-10001839,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1,0,56.2032
81,US2013-710,2013-06-13,2013-06-16,First Class,SC-10770,Stewart Carmichael,Corporate,Decatur,Alabama,35601,South,OFF-AVE-10004983,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,11.16,2,0,5.3568
82,US2011-7110,2011-10-12,2011-10-16,Standard Class,DN-3690,Duane Noonan,Consumer,San Francisco,California,94122,West,OFF-PRE-10004885,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",10.728,4,0.1,2.1456
83,US2011-7110,2011-10-12,2011-10-16,Standard Class,DN-3690,Duane Noonan,Consumer,San Francisco,California,94122,West,OFF-SOR-10004241,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",19.251,1,0.1,4.0641
84,US2012-4950,2012-09-03,2012-09-08,Standard Class,JC-6105,Julie Creighton,Corporate,Durham,North Carolina,27707,South,OFF-JET-10000224,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,215.34,6,0,96.903
85,US2014-7280,2014-11-14,2014-11-17,First Class,CS-2400,Christopher Schild,Home Office,Chicago,Illinois,60623,Central,OFF-SAF-10004572,Office Supplies,Storage,Safco Industrial Wire Shelving,153.584,2,0.2,-32.6366
86,US2014-300,2014-05-29,2014-05-31,Second Class,PO-8865,Patrick O'Donnell,Consumer,Columbia,South Carolina,29203,South,FUR-NOV-10000124,Furniture,Chairs,Novimex Swivel Fabric Task Chair,301.96,2,0,33.2156
87,US2014-6180,2014-10-27,2014-11-03,Standard Class,PG-8895,Paul Gonzalez,Consumer,Rochester,Minnesota,55901,Central,TEC-LOG-10001957,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,11.994,1,0.4,-1.1994
88,US2014-6180,2014-10-27,2014-11-03,Standard Class,PG-8895,Paul Gonzalez,Consumer,Rochester,Minnesota,55901,Central,OFF-AVE-10002056,Office Supplies,Labels,Avery 511,3.696,2,0.4,0.4928
89,US2013-3580,2013-04-06,2013-04-11,Second Class,GM-4455,Gary Mitchum,Home Office,Houston,Texas,77095,Central,OFF-ELD-10000621,Office Supplies,Storage,Eldon Portable Mobile Manager,135.744,6,0.2,11.8776
90,US2013-9890,2013-09-18,2013-09-23,Standard Class,JS-5685,Jim Sink,Corporate,Los Angeles,California,90036,West,OFF-TUR-10004084,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,12.06,2,0.1,3.082
91,US2013-9890,2013-09-18,2013-09-23,Standard Class,JS-5685,Jim Sink,Corporate,Los Angeles,California,90036,West,TEC-PAN-10002260,Technology,Phones,Panasonic Kx-TS550,82.782,2,0.1,17.4762
92,US2013-9890,2013-09-18,2013-09-23,Standard Class,JS-5685,Jim Sink,Corporate,Los Angeles,California,90036,West,OFF-XER-10000961,Office Supplies,Paper,Xerox 1995,5.832,1,0.1,2.4624
93,US2012-4660,2012-01-31,2012-02-05,Second Class,KB-6315,Karl Braun,Consumer,Minneapolis,Minnesota,55407,Central,OFF-XER-10001868,Office Supplies,Paper,Xerox 1999,7.776,2,0.4,1.0368
94,US2012-4660,2012-01-31,2012-02-05,Second Class,KB-6315,Karl Braun,Consumer,Minneapolis,Minnesota,55407,Central,FUR-SET-10004591,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",21.336,2,0.4,-3.2004
95,US2012-4660,2012-01-31,2012-02-05,Second Class,KB-6315,Karl Braun,Consumer,Minneapolis,Minnesota,55407,Central,OFF-IBI-10000218,Office Supplies,Binders,Ibico Standard Transparent Covers,19.776,2,0.4,2.9664
96,US2014-9310,2014-11-07,2014-11-13,Standard Class,RB-9705,Roger Barcio,Home Office,Portland,Oregon,97206,West,OFF-FLE-10004320,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,18.94,1,0,9.47
97,US2014-0,2014-11-10,2014-11-12,Second Class,PN-8775,Parhena Norris,Home Office,New York City,New York,10009,East,FUR-9-3-10002602,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,74.466,6,0.1,26.4768
98,US2014-4910,2014-06-18,2014-06-21,First Class,KD-6345,Katherine Ducich,Consumer,San Francisco,California,94122,West,OFF-TRI-10002727,Office Supplies,Binders,Trimflex Flexible Post Binders,38.484,2,0.1,16.2488
99,US2013-2590,2013-09-07,2013-09-12,Standard Class,ER-3855,Elpida Rittenbach,Corporate,Saint Paul,Minnesota,55106,Central,OFF-FEL-10000514,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,46.728,6,0.4,-8.5668
100,US2013-4220,2013-08-30,2013-09-03,Standard Class,RB-9465,Rick Bensley,Home Office,Chicago,Illinois,60610,Central,OFF-AVE-10000143,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,41.544,6,0.4,5.5392
101,US2013-4220,2013-08-30,2013-09-03,Standard Class,RB-9465,Rick Bensley,Home Office,Chicago,Illinois,60610,Central,TEC-SAN-10001926,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,47.988,2,0.4,-23.1942
102,US2013-4220,2013-08-30,2013-09-03,Standard Class,RB-9465,Rick Bensley,Home Office,Chicago,Illinois,60610,Central,OFF-AVE-10000750,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,3.576,2,0.4,0.3576
103,US2013-6650,2013-12-02,2013-12-05,Second Class,GZ-4470,Gary Zandusky,Consumer,Rochester,Minnesota,55901,Central,OFF-UNI-10004915,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),14.352,4,0.4,2.1528
104,US2012-2460,2012-11-13,2012-11-17,Standard Class,LC-6870,Lena Cacioppo,Consumer,Aurora,Colorado,80013,West,TEC-LOG-10003785,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,179.172,6,0.4,-86.5998
105,US2012-2460,2012-11-13,2012-11-17,Standard Class,LC-6870,Lena Cacioppo,Consumer,Aurora,Colorado,80013,West,FUR-DEF-10001405,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",51.18,2,0.4,-19.619
106,US2012-2460,2012-11-13,2012-11-17,Standard Class,LC-6870,Lena Cacioppo,Consumer,Aurora,Colorado,80013,West,OFF-AVE-10002987,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",49.176,2,0.4,7.3764
107,US2014-3840,2014-11-24,2014-11-29,Standard Class,JM-5250,Janet Martin,Consumer,Charlotte,North Carolina,28205,South,TEC-MEM-10004656,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,92.64,8,0,36.1296
108,US2014-3840,2014-11-24,2014-11-29,Standard Class,JM-5250,Janet Martin,Consumer,Charlotte,North Carolina,28205,South,TEC-SPE-10001670,Technology,Phones,Speck Products Candyshell Flip Case,34.99,1,0,9.0974
109,US2014-3840,2014-11-24,2014-11-29,Standard Class,JM-5250,Janet Martin,Consumer,Charlotte,North Carolina,28205,South,OFF-NEW-10004704,Office Supplies,Art,Newell Chalk Holder,4.13,1,0,1.8998
110,US2012-2900,2012-10-15,2012-10-20,Standard Class,PA-9060,Pete Armstrong,Home Office,Orland Park,Illinois,60462,Central,TEC-LOG-10000281,Technology,Accessories,Logitech Gaming G510s - Keyboard,203.976,4,0.4,-13.5984
111,US2014-5540,2014-12-26,2014-12-31,Standard Class,CV-2805,Cynthia Voltz,Corporate,New York City,New York,10035,East,FUR-MAG-10003911,Furniture,Furnishings,Magnifier Swing Arm Lamp,37.764,2,0.1,6.7136
